Республика Адыгея,,
,Некоммерческий фонд &#8220;Социальное партнерство&#8221;,"Программа реабилитации детей,  больных детским церебральным параличом, оставшихся без попечения родителей № заявки: 649",
,Кувандыкская Районная организация Оренбургский  областной организации Общероссийской общественной организации &#8220;Всероссийское общество инвалидов&#8221;(Оренбург.обл.),Расширение производственной базы для инвалидов № заявки: 353,
Орловская область,,
,Организация,Проект,"Сумма, руб."
,Орловская региональная общественная организация &#8220;Красный мост&#8221;,Обучение социально незащищенных слоев (определенной части молодежи и людей пожилого возраста) высококвалифицированным навыкам компьютерной грамотности -&#8221; Новые компетенции - новая судьба&#8221; № заявки: 633,988.060
,Заводская районная общественная организация  Орловской областной общественной организации Всероссийского общества инвалидов,Интеграция инвалидов в общество за счет повышения доступности социальных объектов  &#8220;Социальная инфраструктура города - инвалидам&#8221; № заявки: 114,306.340
,Орловская областная общественная организация ветеранов войны и военной службы,"Социальная поддержка военных пенсионеров &#8220;Ветераны войны и военной службы - интеллектуальный, трудовой и оборонный резерв страны&#8221; № заявки: 116",661 тыс.
,Ассоциация общественных объединений &#8220;Общественная палата Орловской области&#8221;,Формирование институциональной инфраструктуры и механизмов взаимодействия государственных органов и общественных организаций по социальной поддержке малоимущих граждан  &#8220;Власть и благотворительные институты: ресурс социального партнерства&#8221; № заявки: 96,674.300
,"Орловская областная организация Всероссийской общественной организации ветеранов (пенсионеров) войны , труда, вооруженных сил и правоохранительных органов",Поддержка и социальное обслуживание малоимущих и социально незащищенных категорий граждан № заявки: 103,800 тыс.
,Региональный фонд социальной поддержки населения,"Спортивно-социальная реабилитация детей, находящихся в зоне социального риска № заявки: 107",
,Региональная общественная организация &#8220;Союз женщин Орловской области&#8221;,"Создание областного центра помощи многодетным, приемным и опекунским семьям",500 тыс.
Пензенская область,,
,Организация,Проект,"Сумма, руб."
,Региональная общественная организация &#8220;Содружество детских и молодежных объединений Пензенской области&#8221;,"Включить государственные и муниципальные службы, учреждения некоммерческие организации, прочие структуры общества по месту нахождения семьи (родных, опекунов и т.п.) несовершеннолетнего правонарушителя в решение его социальных и правовых проблем в период пребывания подростка в местах лишения свободы и после освобождения - &#8220;Мост&#8221; № заявки: 605",600 тыс.
Пермская область,,
,Организация,Проект,"Сумма, руб."
,Пермское областное региональное отделение Общероссийской общественной организации &#8220;Российский Красный Крест&#8221;,Социальное обслуживание инвалидов средствами организации ухода на дому &#8220;Милосердие в действии&#8221; № заявки: 10,495.500
,Автономная некоммерческая организация &#8220;Организация учащейся молодежи и детей Пермского края &#8220;Вектор Дружбы&#8221;,"&#8220;Дружба поколений&#8221; - личное участие молодежи в деятельности на благо инвалидов, пенсионеров, ветеранов № заявки: 690",113.423
,Пермская краевая организация общероссийской общественной организации Российский союз ветеранов Афганистана,Создание центра профессиональной подготовки инвалидов -&#8221;Жить после войны&#8221; № заявки: 399,680 тыс.
,Автономная некоммерческая организация социально-психологической помощи &#8220;Со-бытие&#8221;,"Оказание организационной и психологической помощи семьям, взявшим на воспитание детей-сирот - &#8220;Опекунская семья&#8221;. № заявки: 427",394.646
Псковская область,,
,Организация,Проект,"Сумма, руб."
,Автономная некоммерческая организация &#8221; Центр поддержки гражданских инициатив &#8220;Согласие&#8221;,Социально-спортивный комплекс для адаптации инвалидов по зрению № заявки: 328,653.800
,Общественное объединение Независимый социальный женский центр Псковской области,"Реабилитационный центр для женщин и детей, пострадавших от  домашнего насилия № заявки: 681",929.100
,Псковская областная общественная организация &#8220;Дети Чернобыля&#8221;,"Содействие оздоровлению детей, пострадавших в результате последствий на ядерных объектах, проживающих на территории Псковской области - &#8220;Оздоровление детей &#8220;Чернобыля&#8221; № заявки: 656",435.300
Ростовская область,,
,Организация,Проект,"Сумма, руб."
,Азовское городское отделение Ростовского регионального общественного Движения пострадавших в чеченском конфликте,&#8220;Организация системы ресоциализации и сопровождения воспитанников Азовской Воспитательной колонии&#8221; № заявки: 2,850 тыс.
,Азовский городской общественный благотворительный Фонд помощи детям-инвалидам &#8220;Будущее детям&#8221;,Оказание социальной помощи талантливым детям-инвалидам &#8220;Они такие же - как все&#8221; № заявки: 187,527.100
,Региональная  общественная организация инвалидов &#8220;Центр реабилитации инвалидов&#8221;,Содействие трудовой  и творческой реабилитации инвалидов путем развития надомной работы и участия в  художественной самодеятельности - &#8220;Здравствуйте&#8221; № заявки: 416,658.235
,Ростовское региональное отделение общероссийского общественного фонда &#8220;Российский детский фонд&#8221;,Социальный центр &#8220;Приемная семья&#8221; № заявки: 467,400 тыс.
,Ростовское региональное отделение Общероссийской общественной организации &#8220;Российский Красный Крест&#8221;,"Создание Центра по оказанию само- и взаимопомощи - организация ателье-самообслуживания по шитью и ремонту одежды, машинной вышивке для малоимущих граждан, среднедушевой доход которых ниже прожиточного минимума &#8220;Помоги себе сам!&#8221; № заявки: 317",380.132
Рязанская область,,
,Организация,Проект,"Сумма, руб."
,Рязанская региональная организация Общероссийской общественной Организации инвалидов войны в Афганистане,&#8220;Создание Центра медицинской реабилитации и социальной адаптации ветеранов и инвалидов боевых действий&#8221; № заявки: 202,430 тыс.
,Некоммерческая благотворительная организация Фонд &#8220;Социальная помощь&#8221;,Оказание помощи в адаптации инвалидов в производственной деятельности - &#8220;Верю в себя&#8221; № заявки: 607,383.995
,Рязанское региональное отделение общественной организации Общество &#8220;Знание&#8221; России,Народный университет для пожилых &#8220;Век живи - век учись&#8221;. № заявки: 206,327 тыс.
,Благотворительный  фонд во имя святителя Василия Рязанского,Протяни руку помощи № заявки: 310,700 тыс.
,Рязанское региональное отделение Общероссийской общественной организации инвалидов &#8220;Всероссийское общество глухих&#8221;,Обучение основам компьютерного дизайна инвалидов по слуху &#8220;Недоступное - доступней&#8221; № заявки: 342,321.207
,Рязанская областная организация Общероссийской общественной организации инвалидов &#8220;Всероссийское Ордена Трудового Красного Знамени общество слепых&#8221;,Создание Центра информационной поддержки инвалидов по зрению для создания возможностей в получении образования и информации № заявки: 423,161.330
Самарская область,,
,Организация,Проект,"Сумма, руб."
,Автономная некоммерческая организация &#8220;Центр персонального и корпоративного развития &#8220;Арсенал&#8221;,&#8220;Новые приоритеты для трудных подростков&#8221; № заявки: 227,500 тыс.
,Сызранская городская общественная организация инвалидов &#8220;Исток&#8221;,"Оказание материальной помощи инвалидам &#8221; Поможем тем, кто не может сам&#8221; № заявки: 362",182.866
,Некоммерческое партнерство &#8220;Социальный центр &#8220;Живая вода&#8221;,Развитие центра по социальной адаптации бездомных граждан № заявки: 490,395 тыс.
,Самарская  региональная общественная организация  инвалидов &#8220;Призма&#8221;,Социализация и трудовая реабилитация инвалидов с двигательными нарушениями через овладение ими профессиональными навыками в сфере информационно-коммуникативных технологий - IT технологии как средство реабилитации инвалида № заявки: 627,
,Самарская  городская общественная организация инвалидов-больных рассеянным склерозом,Повышение доступности реабилитационных услуг для инвалидов № заявки: 639,
,Самарская благотворительная общественная организация &#8220;Ассоциация &#8220;Социальная защита детей-инвалидов&#8221;,Свое будущее строим сами - проект для  реабилитации слабослышащих № заявки: 685,977.590
,Автономная некоммерческая организация  &#8221; Самарский хоспис&#8221;,Социальная поддержка больных  неизлечимыми заболеваниями &#8220;Достойную жизнь - до конца&#8221; № заявки: 287,536 тыс.
,Самарская региональная общественная организация  инвалидов &#8220;Центр социальных инициатив&#8221;,Поддержка образовательного процесса незрячих студентов Приволжского ФО № заявки: 365,498.561
,"Самарская городская общественная организация детей-инвалидов, инвалидов с детства &#8220;Парус надежды&#8221;",Оказание материальной помощи детям-инвалидам - &#8220;Путевка в жизнь&#8221; № заявки: 545,456 тыс.
,Самарская региональная общественная организация  &#8220;Здоровая нация&#8221;,Акция &#8221; Волна здоровья&#8221; -Оказание адресной помощи детям с врожденным пороком сердца № заявки: 670,
Саратовская область,,
,Организация,Проект,"Сумма, руб."
,Фрунзенское районное отделение Саратовской областной организации общественной   организации &#8220;Всероссийское общество инвалидов&#8221;(ВОИ),Оказание транспортных услуг для инвалидов-колясочников &#8220;Социальное такси для инвалидов&#8221; № заявки: 41,485.438
,Саратовская областная организация общероссийской общественной организации &#8220;Всероссийское общество инвалидов&#8221; ВОИ,&#8220;Социальное такси для инвалидов с поражением опорно-двигательного аппарата&#8221; № заявки: 154,640 тыс.
,Саратовский  региональный общественный благотворительный фонд &#8220;Памяти братьев Бандориных&#8221;,Социальная реабилитация инвалидов средствами самодеятельного художественного творчества &#8220;Уроки творчества - уроки обретения себя&#8221; № заявки: 157,133.518
,Благотворительный фонд  &#8221; Александр Невский&#8221;,Развитие добровольчества в системе социальной поддержки малоимущих и социально незащищенных семей&#8221;  Мы- рядом. Мы- поможем&#8221; № заявки: 291,916.528
,Саратовское региональное отделение Всероссийской общественной организации  &#8220;Всероссийское общество охраны памятников истории и культуры&#8221;,Проведение конференции  и издание книги &#8220;Традиции российской благотворительности: история и современность&#8221; № заявки: 236,800 тыс.
Свердловская область,,
,Организация,Проект,"Сумма, руб."
,Региональная общественная организация Свердловской области &#8220;Семаргл&#8221;,"Содействие воспитанию и образованию детей-инвалидов  с ограниченными умственными возможностями  и детей с задержкой психического развития -&#8221;Здравствуй, Человек !&#8221; № заявки: 435",500 тыс.
,Свердловская региональная общественная организация инвалидов боевых действий в Чечне &#8220;Боевое братство&#8221;,Негосударственная система комплексной реабилитации инвалидов вследствие боевых действий и военной травмы № заявки: 440,890 тыс.
,Местная общественная организация &#8220;Объединение пенсионеров и  инвалидов Камышловского района&#8221;,Оказание материальной помощи пенсионерам и инвалидам - &#8220;Не лишние люди&#8221; № заявки: 573,701.570
,Благотворительный Фонд &#8220;Региональный Центр социального сопровождения освободившихся женщин &#8220;ЭОС&#8221;,"&#8220;Социальная помощь женщинам, отбывающим наказание в исправительной колонии №6&#8243; № заявки: 29",234.380
,Некоммерческое Партнерство &#8220;Единый Компрессорный&#8221;,"Создание волонтерского центра социальной поддержки инвалидов, находящихся  в трудной жизненной ситуации, семьям, имеющим детей-инвалидов &#8220;Кто, если не мы?&#8221; № заявки: 54",262 тыс.
,Свердловская региональная общественная организация  &#8220;Память сердца. Дети погибших защитников Отечества&#8221;,"&#8220;Архивно-поисковая деятельность и социально-материальная поддержка  детей, оставшихся без отцов в период 1941-1945 гг.&#8221; № заявки: 56",
,Региональная общественная организация инвалидов военной службы &#8220;Союз инвалидов вооруженных сил Свердловской области&#8221;,Организация оздоровительного отдыха ветеранов военной службы в здравнице Черноморского побережья &#8220;Природа лечит лучше пенициллина!&#8221; № заявки: 314,737.400
,Автономная некоммерческая благотворительная организация Научно-практическое социально-педагогическое объединение &#8220;Благое дело&#8221;,Художественно-ремесленные мастерские - реабилитация и реализация прав инвалидов на труд и участие в культурной жизни № заявки: 358,
,Березовское районное отделение Общероссийской общественной организации инвалидов &#8220;Российское общество инвалидов &#8220;Содружество&#8221;,"Оказание материальной помощи детям, находящимся на попечении государства &#8220;Дети-инвалиды и дети-сироты города Березовский&#8221; № заявки: 374",
,Октябрьская районная организация инвалидов войны в Афганистане,"Социальное такси для инвалидов, ветеранов войн,  вооруженных конфликтов, инвалидов вследствие боевых действий в г.Екатеринбурге № заявки: 504",800 тыс.
Смоленская область,,
,Организация,Проект,"Сумма, руб."
,Региональная общественная организация Смоленская ромская (цыганская)  диаспора &#8220;СРД&#8221;,&#8220;Социальная поддержка малоимущих и социально незащищенных цыган&#8221; № заявки: 80,
,Смоленская областная организация всероссийской общественной организации инвалидов &#8220;Всероссийское Ордена Трудового Знамени общество слепых&#8221;,Создание и организация деятельности Тифлоинформационного центра для инвалидов Смоленской области № заявки: 293,897.810
,Смоленская региональная общественная организация инвалидов &#8220;СМООИН&#8221;,&#8220;Создание центра защиты прав инвалидов&#8221; № заявки: 278,720 тыс.
,"Автономная некоммерческая организация центр социально-психологической помощи детям-сиротам и детям, оставшимся без попечения родителей &#8220;Ради будущего&#8221;","Создание семейной гостиной для семей, взявших на воспитание детей сирот и детей, оставшихся без попечения родителей &#8220;Домашний очаг&#8221; № заявки: 339",721.700
Тамбовская область,,
,Организация,Проект,"Сумма, руб."
,Тамбовская региональная организация Общероссийской общественной организации инвалидов войны в Афганистане,Социальная поддержка и медицинское обслуживание инвалидов боевых действий в отдаленных районах Тамбовской области &#8220;За социальные гарантии&#8221; № заявки: 3,
,Тамбовское региональное отделение Общероссийского общественного благотворительного фонда &#8220;Российский детский фонд&#8221;,Организация городской социальной службы &#8220;Один дома&#8221; № заявки: 159,701.616
,Тамбовская  областная  организация общероссийской общественной организации  &#8220;Всероссийское общество инвалидов&#8221;,Оказание помощи в профессиональной ориентации и приобретении профессии&#8221; Центр профессиональной интеграции&#8221; № заявки: 163,
,Общественная организация защиты прав потребителей г.Тамбова &#8220;Голос потребителя&#8221;,Оказание бесплатной юридической помощи по защите прав потребителя малоимущим и социально незащищенным гражданам № заявки: 166,300 тыс.
,"Уметское местное отделение Тамбовской областной общественной организации пенсионеров-ветеранов и инвалидов войны, труда, Вооруженных сил и правоохранительных органов","&#8220;Создание благоприятных условий, снижение остроты в решении социально-экономических, бытовых вопросов и жизни пенсионеров района&#8221; № заявки: 171",400 тыс.
,Тамбовская областная организация Общероссийской общественной организации инвалидов &#8220;Всероссийское Ордена Трудового Красного знамени общества слепых&#8221;,&#8220;Социально-информационная адаптация и реабилитация инвалидов по зрению трудоспособного возраста &#8220;Открытый мир&#8221; № заявки: 176,191.660
,"Тамбовская областная общественная организация  пенсионеров-ветеранов и инвалидов войны, труда, Вооруженных Сил и правоохранительных органов",Обслуживание малоимущих  и социально незащищенных категорий граждан  старшего поколения  Тамбовской области &#8220;Забота&#8221; № заявки: 186,
,Благотворительный Фонд &#8220;НАСЛЕДИЕ ТАМБОВЩИНЫ&#8221;,&#8220;Материальная поддержка и социальное  обслуживание малоимущих и социально незащищенных категорий граждан Тамбовской области (2007-2008 г.г.) № заявки: 248,800 тыс.
,Мичуринская  местная организация Тамбовского регионального отделения  Общероссийской общественной организации &#8220;Российский союз ветеранов Афганистана&#8221;,"Оказание социальной поддержки инвалидам боевых действий, членам семей погибших военнослужащих № заявки: 492",400 тыс.
,"Тамбовское  региональное отделение  общественной организации  &#8220;Общероссийский союз  инвалидов внутренних войск, Вооруженных сил, пограничных войск, служб безопасности, спорта и правоохранительных органов&#8221;",Возрождение - приобщение инвалидов к посильному труду и активному отдыху № заявки: 593,532 тыс.
Тверская область,,
,Организация,Проект,"Сумма, руб."
,Бежецкое районное общественное движение &#8220;Союз многодетных семей&#8221;,&#8220;Здоровая семья&#8221; № заявки: 225,206.500
,Тверская областная организация Общероссийской общественной организации инвалидов &#8220;Всероссийское ордена Трудового Красного Знамени общество слепых&#8221;,Создание центров физической реабилитации инвалидов по зрению &#8220;Помощь и адаптация&#8221; № заявки: 105,411.710
,Общественная организация &#8220;Тверской городской &#8220;Центр социальной реабилитации женщин с ограниченными возможностями и поддержки гражданских инициатив &#8220;Так живем&#8221;,Информационное содействие родителям детей - инвалидов в осознании необходимости общественных объединений - &#8220;Вместе-сильнее&#8221; № заявки: 213,362.582
,Тверская  областная организация общероссийской общественной организации &#8220;Всероссийское общество инвалидов&#8221;,Доступное информационное пространство - путь комплексной  реабилитации инвалидов во всех сферах жизнедеятельности № заявки: 241,986.487
,Тверское областное общественное учреждение &#8220;Дирекция долгосрочной социальной программы &#8220;Важное дело&#8221;,"Мероприятия по активизации молодежи для оказания дополнительной помощи ветеранам, одиноким пожилым людям  и инвалидам - &#8220;Патронажная служба Тверской области&#8221; № заявки: 597",949.050
,Тверское областное отделение общероссийской общественной организации &#8220;Союз пенсионеров России&#8221;,Создание информационных центров по оказанию социальной помощи пенсионерам -&#8221; Лаборатория общественных инициатив&#8221; № заявки: 638,276 тыс.
Томская область,,
,Организация,Проект,"Сумма, руб."
,Томская региональная детская общественная организация &#8220;Дом природы&#8221;,Снижение уровня социальной изоляции несовершеннолетних нарушителей - заключенных воспитательной колонии - &#8220;Мир без границ&#8221; № заявки: 437,424.373
Тульская область,,
,Организация,Проект,"Сумма, руб."
,Тульская региональная общественная организация &#8221; Ассоциация многодетных семей&#8221;,&#8220;Многодетная семья как социальная норма современного общества&#8221; № заявки: 228,810.887
,Богородицкая районная общественная организация ВОИ ТРО,"Оказание материальной помощи инвалидам &#8220;Гуманность, милосердие, братство, защищенность&#8221;. № заявки: 265",186.262
,Общественная организация содействия развитию гражданского общества &#8220;Общественная палата Тульской области&#8221;,Создание волонтерского центра в Тульской области № заявки: 251,565 тыс.
,Некоммерческая организация  Благотворительный фонд содействия детям-инвалидам &#8220;Добродетель -Тула&#8221;,Социальное обслуживание ребенка-инвалида и членов  его семьи № заявки: 260,418.200
,Тульская региональная общественная организация &#8220;Центр социальной реабилитации инвалидов &#8220;Березень&#8221;,Создание центра профессиональной подготовки инвалидов &#8220;Путь в мир равных возможностей&#8221; № заявки: 263,649.808
,Тульская региональная общественная организация &#8220;Православный центр духовного возрождения&#8221;,Благотворительная поддержка детей в детских домах &#8220;Дети - росток будущего&#8221; № заявки: 270,
,"Тульская региональная молодежная военно-патриотическая, спортивная общественная организация &#8220;Легион&#8221;",Стрелы Робин Гуда № заявки: 273,759.318
Тюменская область,,
,Организация,Проект,"Сумма, руб."
,Тюменская городская общественная организация &#8220;Особый ребенок&#8221;,Оказание помощи и психологической поддержки талантливым детям инвалидам &#8220;Ты не один&#8221; № заявки: 69,448.689
,Тюменская областная общественная организация Тюменский областной Центр детей-инвалидов и сирот &#8220;Творчество&#8221;,&#8220;Реабилитация детей-инвалидов и сирот через совместный досуг и творчество&#8221; № заявки: 99,
,Тюменский региональный общественный фонд содействия построению гражданского общества &#8220;Новые перспективы&#8221;,Обучение и трудоустройство молодых инвалидов в сфере компьютерных и интернет услуг № заявки: 422,
,Благотворительный Фонд развития города Тюмени,"Создание центра по оказанию материальной помощи малоимущим семьям, организация и проведение акций в поддержку социально незащищенных жителей города - &#8220;Вместе против бедности&#8221; № заявки: 424",
,Автономная некоммерческая организация &#8220;Добровольцы милосердия&#8221;,"Оказание социальной помощи ветеранам войн и труда, инвалидам, детям-сиротам, многодетным семьям , тяжело больным в стационаре и на дому  - &#8220;Эстафета милосердия&#8221; № заявки: 517",
Ульяновская область,,
,Организация,Проект,"Сумма, руб."
,Ульяновская  городская общественная организация инвалидов общего заболевания,Лучший способ поддержать социально-незащищенных граждан - дать им возможность зарабатывать! № заявки: 464,172.500
,Ульяновская областная организация Общероссийской общественной организации &#8220;Российский союз молодежи&#8221;,"Курс позитивной поведенческой стратегии для несовершеннолетних из &#8220;групп риска&#8221;, стоящих на учете в милиции  - тренинги, индивидуальные и групповые консультации, ролевые игры и т.п. - &#8220;Молодежь - обществу&#8221; № заявки: 520",821.630
,Ульяновское региональное отделение Общероссийской общественной организации инвалидов-больных рассеянным склерозом,Содействие внедрению современных методик лечения и социальной поддержки больных рассеянным склерозом &#8220;Формула счастья&#8221; № заявки: 297,113.535
,Ульяновское региональное отделение Общероссийского общественного благотворительного фонда &#8220;Российский детский фонд&#8221;,Оказание помощи детям в детских домах &#8220;Ты не один&#8221; № заявки: 371,250 тыс.
Челябинская область,,
,Организация,Проект,"Сумма, руб."
,Челябинская  областная организация Общероссийской общественной организации инвалидов &#8220;Всероссийского ордена Трудового Красного Знамени общества слепых&#8221;,Развитие добровольчества в Челябинской ОО ВОС № заявки: 438,667.820
,Местная Православная религиозная организация Прихода храма  в честь иконы Божьей Матери &#8220;Нечаянная радость&#8221;,Сестричество милосердия в честь преподобномученницы Великой княгини Елисаветы № заявки: 469,612 тыс.
,Челябинская региональная общественная организация  &#8220;Память сердца .Дети погибших защитников Отечества&#8221;,"&#8220;Медико-социальная поддержка пожилых граждан, чьи отцы (матери) погибли в годы Великой Отечественной войны&#8221; № заявки: 86",
,Общественный фонд Металлургического района г.Челябинска &#8220;СОЦГОРОД&#8221;,Оказание материальной помощи малоимущим семьям - &#8220;В каждый дом войти с добром&#8221; № заявки: 412,300 тыс.
,"Челябинская региональная общественная организация ветеранов войны, боевых действий и военной службы &#8220;Защитник Отечества&#8221;","Развитие системы социальной адаптации и бесплатной консультативной помощи ветеранам и инвалидам войны ,боевых действий и военной службы, военнослужащим уволенным в запас или отставку, и членам их семей, привлечение их к патриотическому воспитанию подрастающего поколения № заявки: 429",400 тыс.
,Челябинский региональный общественный фонд  &#8220;За жизнь Человека и Человечества&#8221;,Материальная поддержка и реабилитация социально незащищенных граждан № заявки: 653,700 тыс.
Читинская область,,
,Организация,Проект,"Сумма, руб."
,Читинская региональная общественная организация  &#8220;Федерация кладспорта&#8221;,Пропаганда усыновления и патронатного воспитания детей-сирот средствами  кладспорта &#8220;Золотая традиция&#8221; № заявки: 87,300 тыс.
,"Некоммерческий фонд поддержки и развития факультета психологии Института психологии, педагогики и социальных наук Забайкальского государственного педагогического университета им. Н.Г. Чернышевского &#8220;Психолог&#8221;",&#8220;Домашний патронаж детей-инвалидов с низкой способностью к реабилитации и их семей&#8221; № заявки: 405,
Ярославская область,,
,Организация,Проект,"Сумма, руб."
,Ярославская региональная молодежная и  детская  общественная организация содействия реализации международной программы &#8220;Большие братья/Большие сестры&#8221;,"Социализация детей из неполной, неблагополучной и малообеспеченной семьи, детей сирот и детей-инвалидов Ярославской области; приобщение детей, молодежи и взрослых к творческой деятельности, самостоятельному решению социально значимых задач - &#8220;Диалог индивидуальностей&#8221; № заявки: 698",496.200
,Духовно-просветительская благотворительная детская общественная организация &#8220;Истоки&#8221; Рыбинского муниципального округа Ярославской области,"Организация досуга и отдыха детей, подростков и молодежи из малообеспеченных и неблагополучных семей № заявки: 522",400 тыс.
